epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
53,2876.07,0.78414,0.471,0.89011,0.88205,0.79064,0.84309,0.61528,1.00942,0.67541,0.95015,0.000692866,0.000230955,0.000692866,0.000230955,0.000692866,0.000230955,0.000692866,0.000230955
54,2929.75,0.785,0.46921,0.89352,0.91912,0.73939,0.84819,0.61651,1.01024,0.65704,0.94956,0.000678728,0.000226243,0.000678728,0.000226243,0.000678728,0.000226243,0.000678728,0.000226243
55,2983.26,0.77247,0.46677,0.88973,0.86147,0.79388,0.84817,0.61545,1.01313,0.6594,0.95289,0.000664591,0.00022153,0.000664591,0.00022153,0.000664591,0.00022153,0.000664591,0.00022153
56,3036.77,0.77737,0.46625,0.89558,0.87769,0.78667,0.85117,0.61836,1.01089,0.66549,0.95435,0.000650454,0.000216818,0.000650454,0.000216818,0.000650454,0.000216818,0.000650454,0.000216818
57,3090.43,0.77694,0.46679,0.88794,0.89641,0.77326,0.84968,0.61802,1.00902,0.66036,0.9544,0.000636317,0.000212106,0.000636317,0.000212106,0.000636317,0.000212106,0.000636317,0.000212106
58,3144.43,0.77013,0.45586,0.89268,0.89793,0.7786,0.85459,0.62248,1.01347,0.66304,0.95312,0.00062218,0.000207393,0.00062218,0.000207393,0.00062218,0.000207393,0.00062218,0.000207393
59,3196.66,0.77219,0.45389,0.89089,0.86228,0.80253,0.85154,0.622,1.0045,0.66097,0.95305,0.000608042,0.000202681,0.000608042,0.000202681,0.000608042,0.000202681,0.000608042,0.000202681
60,3250.17,0.76876,0.4563,0.8879,0.89165,0.79453,0.8587,0.61964,1.01598,0.66502,0.95542,0.000593905,0.000197968,0.000593905,0.000197968,0.000593905,0.000197968,0.000593905,0.000197968
61,3303.93,0.77489,0.46084,0.89236,0.88331,0.79304,0.85681,0.62641,1.01104,0.65617,0.95179,0.000579768,0.000193256,0.000579768,0.000193256,0.000579768,0.000193256,0.000579768,0.000193256
62,3357.4,0.75411,0.44591,0.88484,0.92728,0.77419,0.85476,0.62378,1.01005,0.65162,0.94864,0.000565631,0.000188544,0.000565631,0.000188544,0.000565631,0.000188544,0.000565631,0.000188544
63,3410.89,0.77405,0.45788,0.88688,0.87945,0.79584,0.85357,0.61982,1.00855,0.65832,0.94785,0.000551494,0.000183831,0.000551494,0.000183831,0.000551494,0.000183831,0.000551494,0.000183831
